time,x_omega,y_omega,z_omega,temp,index,x_angle_1,y_angle_1,z_angle_1,x_angle_2,y_angle_2,z_angle_2
0.146,-0.003105813,0.148332817,-0.148487373,27.5,2459,7.88E-05,-0.000731626,-0.000210878,-0.000251687,-0.000384761,0.000406779
0.148,-0.007356898,0.165102229,-0.140523183,27.5,2460,6.88E-05,-0.000405511,-0.000497612,-0.000257899,-8.80951E-05,0.000109804
0.15,-0.008419669,0.176107155,-0.130966156,27.5,2461,5.68E-05,-0.000057386,-0.000765231,-0.000272613,0.000242109,-0.000171242
0.152,-0.006294127,0.186588038,-0.110259263,27.5,2462,4.90E-05,0.000311701,-0.000991437,-0.000289452,0.000594324,-0.000433174
0.154,-0.006825512,0.18553995,-0.095392775,27.5,2463,4.01E-05,0.000678691,-0.001187911,-0.00030204,0.0009675,-0.000653693
0.156,-0.005762741,0.174010979,-0.070438315,27.5,2464,3.33E-05,0.001022623,-0.001334475,-0.000315691,0.00133858,-0.000844478
0.158,-0.002043042,0.163530097,-0.049731422,27.5,2465,3.40E-05,0.001345594,-0.001439625,-0.000327217,0.001686602,-0.000985355
0.16,-0.002043042,0.138900023,-0.029555475,27.5,2466,3.47E-05,0.001619304,-0.001504424,-0.000331303,0.002013662,-0.001084818
0.162,-0.000448886,0.110601641,-0.012565203,27.5,2467,3.85E-05,0.001836418,-0.001535242,-0.000335389,0.002291462,-0.001143929
0.164,-0.002574428,0.07863495,0.004956014,27.5,2468,0.000038157,0.001989598,-0.001531018,-0.000336287,0.002512665,-0.001169059
0.166,-0.008951055,0.044048039,0.016636825,27.5,2469,2.50E-05,0.002073604,-0.001503432,-0.000341436,0.002669935,-0.001159147
0.168,-0.008951055,0.006840907,0.025131961,27.5,2470,1.19E-05,0.002083196,-0.001458856,-0.000359338,0.002758031,-0.001125873
0.17,-0.006825512,-0.029318137,0.032034258,27.5,2471,3.01E-06,0.00202047,-0.001400475,-0.00037724,0.002771713,-0.00107561
0.172,-0.005762741,-0.052376078,0.038936556,27.5,2472,-3.75E-06,0.001911629,-0.00132829,-0.000390891,0.002713077,-0.001011541
0.174,-0.002574428,-0.079102328,0.045838854,27.5,2473,-0.000004126,0.001749334,-0.0012423,-0.000402416,0.002608324,-0.000933668
0.176,-0.001511657,-0.106876666,0.050617368,27.5,2474,-2.38E-06,0.001531491,-0.001146753,-0.000407565,0.00245012,-0.00084199
0.178,0.000613886,-0.124170122,0.061236287,27.5,2475,3.62E-06,0.001279061,-0.001029968,-0.000410588,0.002236367,-0.000740755
