x_angle_1,y_angle_1,z_angle_1
0.737,-14.89929,15.61936
0.691,-14.05922,15.36427
0.655,-12.988579999999999,14.57824
0.502,-11.645430000000001,13.21878
0.40299999999999997,-10.166030000000001,11.32838
0.37799999999999995,-8.518939999999999,9.002609999999999
0.353,-6.73559,6.29455
0.36,-4.76359,3.39535
0.377,-2.78111,0.263
0.427,-0.736,-2.8596600000000003
0.433,1.4144299999999999,-5.7800899999999995
0.493,3.6379799999999998,-8.49877
0.532,5.91392,-11.00506
0.54945,8.20035,-13.09722
0.6839999999999999,10.48678,-14.743390000000002
0.765,12.64743,-15.996649999999999
0.83551,14.58799,-16.7402
0.9380000000000001,16.1722,-17.09086
0.998,17.38957,-16.9849
0.962,18.13531,-16.52852
0.99,18.37796,-15.689860000000001
0.965,18.22234,-14.649439999999998
0.9189999999999999,17.542669999999998,-13.41788
0.883,16.27608,-11.98456
0.837,14.60073,-10.3601
0.8330000000000001,12.55854,-8.58698
0.787,10.10761,-6.75014
0.8150000000000001,7.44705,-4.78588
0.854,4.66073,-2.86409
0.882,1.7696,-0.9
0.8780000000000001,-1.18442,1.14938
0.874,-4.13844,3.1667400000000003
0.87,-6.95621,5.15224
0.856,-9.64821,6.99969
0.831,-11.99433,8.83653
0.9119999999999999,-13.910739999999999,10.39727
0.9610000000000001,-15.51273,11.57574
1.05312,-16.59067,12.45687
1.10243,-17.238889999999998,12.81768
1.01359,-17.404989999999998,12.9024
0.999,-17.07849,12.51988
0.889,-16.248910000000002,11.691379999999999
0.875,-14.94768,10.3744
0.743,-13.258659999999999,8.66452
0.6329999999999999,-11.17137,6.72103
0.502,-8.79062,4.5333
0.477,-6.263129999999999,2.21814
0.37753000000000003,-3.55747,-0.022680000000000002
0.437,-0.957,-2.19979
0.359,1.56039,-4.2494700000000005
0.302,3.9201900000000003,-6.08678
0.23472,6.0494,-7.69047
0.23099999999999998,7.86419,-9.11364
0.216,9.41695,-10.30319
0.255,10.67625,-11.110460000000002
0.34700000000000003,11.684009999999999,-11.694730000000002
0.418,12.450709999999999,-11.907350000000001
0.541,12.944899999999999,-11.918199999999999
0.591,13.16659,-11.791
0.6509999999999999,13.02145,-11.58948
0.753,12.56189,-11.20743
0.781,11.725010000000001,-10.751050000000001
0.7666200000000001,10.51082,-10.16725
0.763,9.06605,-9.424159999999999
0.759,7.33829,-8.60674
0.734,5.432370000000001,-7.61941
0.73,3.3692200000000003,-6.547140000000001
0.758,1.3479999999999999,-5.26249
0.829,-0.61033,-3.9778300000000004
0.889,-2.55818,-2.60823
0.885,-4.40123,-1.1112
0.9239999999999999,-6.0661000000000005,0.45
0.899,-7.437500000000001,2.03153
0.8839999999999999,-8.5364,3.6135099999999998
0.965,-9.22655,5.1424
1.0039,-9.67564,6.59696
1.06383,-9.77886,7.9028599999999996
1.15565,-9.51524,8.99637
1.15182,-9.03153,9.79256
1.15862,-8.29628,10.33389
1.18669,-7.34093,10.418610000000001
1.19351,-6.207400000000001,10.14229
1.16844,-5.04242,9.38811
1.1646400000000001,-3.75168,8.31537
1.07581,-2.4819,6.8603499999999995
1.0613700000000001,-1.24356,5.25666
0.98316,0.0472,3.41935
0.862,1.22264,1.42277
0.8270000000000001,2.25137,-0.691
0.834,3.20672,-2.8040299999999996
0.755,4.08871,-4.91743
0.6559999999999999,4.9182999999999995,-6.8396799999999995
0.588,5.58019,-8.5708
0.446,6.10583,-10.04706
0.485,6.516179999999999,-11.13043
0.449,6.8322,-11.83151
0.488,7.02245,-12.12907
0.56912,7.08692,-12.076210000000001
0.576,7.01515,-11.75788
0.51899,6.786160000000001,-11.15283
0.505,6.51525,-10.23984
0.4795,6.22338,-9.04014
0.38,5.88958,-7.77672
0.31248000000000004,5.566269999999999,-6.43897
0.298,5.25343,-4.9525500000000005
0.273,4.89868,-3.55109
0.354,4.40767,-2.16024
0.35,3.8432899999999997,-0.7270000000000001
0.368,2.98545,0.494
0.353,1.98088,1.50258
0.371,0.9239999999999999,2.39434
0.399,-0.33221,3.1480499999999996
0.41600000000000004,-1.73506,3.63628
0.38099999999999995,-3.3579999999999997,3.94399
0.409,-5.075270000000001,4.02871
0.405,-6.74014,3.91167
0.412,-8.384039999999999,3.64596
0.482,-9.6716,3.3165400000000003
0.542,-10.65521,2.7853600000000003
0.623,-11.24054,2.2117
0.6940000000000001,-11.39616,1.48938
0.754,-11.13255,0.746
0.772,-10.49162,0.0129
0.746,-9.43146,-0.582
0.7210000000000001,-8.014940000000001,-1.07071
0.696,-6.1792,-1.41074
0.629,-3.95566,-1.68707
0.689,-1.50154,-1.81473
0.6849999999999999,1.17268,-1.87867
0.724,3.67921,-1.8895199999999999
0.7090000000000001,6.007560000000001,-1.90037
0.695,8.04244,-1.8687399999999998
0.606,9.752419999999999,-2.06011
0.52763,11.0222,-2.25149
0.46004,11.96707,-2.6764799999999997
0.499,12.492709999999999,-3.21828
0.51615,12.57815,-3.85564
0.608,12.20243,-4.60982
0.604,11.35507,-5.364
0.547,10.140880000000001,-6.17127
0.49,8.633230000000001,-6.90421
0.454,7.02077,-7.520339999999999
0.461,5.32446,-7.95596
0.415,3.68055,-8.17919
0.41115999999999997,2.0680899999999998,-8.06261
0.418,0.571,-7.574380000000001
0.37200000000000005,-0.8210000000000001,-6.64015
0.368,-2.00419,-5.31302
0.407,-2.98781,-3.8266
0.40299999999999997,-3.75132,-2.19152
0.42,-4.32617,-0.471
0.384,-4.7123800000000005,1.34411
0.338,-4.95184,3.0429
0.302,-5.10747,4.64613
0.288,-5.147799999999999,6.02635
0.284,-5.1462,7.1623399999999995
0.238,-5.15509,7.90543
0.276,-5.14302,8.25562
0.273,-5.20431,8.202300000000001
0.279,-5.30753,7.75607
0.265,-5.400259999999999,6.93818
0.34600000000000003,-5.50348,5.89729
0.31053000000000003,-5.53332,4.55907
0.28500000000000003,-5.47933,3.02971
0.314,-5.31004,1.4685
0.278,-5.09883,-0.188
0.36972,-4.68848,-1.72826
0.47200000000000003,-4.03707,-3.15143
0.5,-3.2389300000000003,-4.42594
0.5389700000000001,-2.2521299999999997,-5.583629999999999
0.599,-1.09764,-6.59266
0.712,0.20400000000000001,-7.34684
0.687,1.5362500000000001,-8.0373
0.683,2.79555,-8.55786
0.69,4.05485,-8.85542
0.72863,5.19886,-8.9937
0.799,6.2171,-8.9196
0.817,7.06764,-8.76054
0.877,7.64568,-8.452829999999999
0.8515400000000001,8.00363,-8.070780000000001
0.858,8.11003,-7.58254
0.823,7.94393,-7.03059
0.766,7.557720000000001,-6.32998
0.751,6.94094,-5.52318
0.747,6.19839,-4.5889500000000005
0.786,5.319590000000001,-3.47419
0.793,4.34646,-2.24263
0.842,3.2161199999999996,-1.02169
0.8390000000000001,1.92856,0.16739
0.8670000000000001,0.5780000000000001,1.4095700000000002
0.788,-0.846,2.5137
0.753,-2.17517,3.53288
0.717,-3.5361000000000002,4.3715399999999995
0.649,-4.7398,5.01906
0.635,-5.702450000000001,5.40111
0.535,-6.62318,5.4752
0.532,-7.281879999999999,5.27321
0.528,-7.67856,4.986269999999999
0.428,-7.72937,4.486940000000001
0.42500000000000004,-7.48672,3.84957
0.357,-7.02396,3.1484900000000002
0.343,-6.25727,2.5004999999999997
0.264,-5.4172,1.7357099999999999
0.271,-4.34656,1.05587
0.28900000000000003,-3.1501499999999996,0.48220999999999997
0.35923999999999995,-1.8279599999999998,-0.048999999999999995
0.313,-0.495,-0.5482899999999999
0.415,0.8160000000000001,-0.92
0.443,1.96042,-1.26022
0.482,2.99962,-1.63212
0.5,3.89209,-2.13144
0.496,4.6483,-2.6201399999999997
0.43900000000000006,5.0901,-3.35308
0.371,5.42708,-4.1497399999999995
0.431,5.701169999999999,-4.96763
0.449,5.81806,-5.74304
0.455,5.934939999999999,-6.4866
0.46199999999999997,6.1147100000000005,-7.10273
0.45837,6.24207,-7.686999999999999
0.518,6.24367,-8.133230000000001
0.46136,6.161409999999999,-8.36708
0.5,5.93243,-8.3567
0.454,5.44142,-8.21888
0.535,4.89801,-7.78374
0.574,4.22882,-7.14684
0.665,3.45483,-6.36128
0.7789999999999999,2.58651,-5.41643
0.977,1.67626,-4.2592
1.0791600000000001,0.70313,-3.19754
1.0966,-0.44799999999999995,-2.14651
1.09278,-1.5890000000000002,-1.2653699999999999
1.02519,-2.71934,-0.45899999999999996
0.958,-3.6610300000000002,0.178
0.922,-4.52935,0.6980000000000001
0.897,-5.33479,1.18666
0.90364,-5.9620500000000005,1.5899400000000001
0.91,-6.45306,1.98261
0.8959999999999999,-6.71349,2.46023
0.882,-6.7957399999999994,2.93784
0.793,-6.63694,3.33051
0.831,-6.27899,3.65946
0.828,-5.69047,3.98842
0.877,-4.99714,4.243040000000001
0.8729999999999999,-4.199,4.40209
0.933,-3.4322999999999997,4.45495
0.9720000000000001,-2.64464,4.35915
0.968,-1.85698,4.00849
1.02787,-1.05884,3.37113
0.971,-0.33399999999999996,2.31962
0.9780000000000001,0.317,0.865
0.974,0.948,-0.845
0.928,1.4943899999999999,-2.7356800000000003
0.8069999999999999,1.96763,-4.6898
0.665,2.35702,-6.60144
0.555,2.89314,-8.42812
0.487,3.50262,-9.946860000000001
0.505,4.24836,-11.136410000000001
0.52205,5.036020000000001,-11.901209999999999
0.48600000000000004,5.70839,-12.14568
0.41877,6.2969100000000005,-11.88044
0.40399999999999997,6.86447,-11.10549
0.38991,7.35867,-9.71464
0.386,7.73757,-8.18575
0.435,7.98022,-6.31706
0.517,8.044699999999999,-4.42712
0.5339999999999999,7.9100399999999995,-2.46286
0.637,7.335179999999999,-0.7
0.718,6.43542,0.9560000000000001
0.7779999999999999,5.11642,2.21938
0.7210000000000001,3.5563599999999997,3.0792800000000002
0.696,1.7552400000000001,3.5038
0.6920000000000001,-0.13999999999999999,3.50357
0.603,-2.1823900000000003,3.2166200000000003
0.61,-4.318890000000001,2.63234
0.585,-6.39251,1.9631100000000001
0.549,-8.25652,1.25141
0.49200000000000005,-9.93187,0.62466
0.52,-11.19846,0.0616
0.58,-11.920050000000002,-0.3
0.619,-12.16999,-0.49103
0.6679999999999999,-11.87494,-0.3
0.686,-11.06632,0.0182
0.714,-9.82798,0.5599999999999999
0.742,-8.22281,1.2176900000000002
0.78058,-6.16697,1.87583
